type,name,address,ttl,comment,disabled,zone
a,abrs.ch,149.126.4.73,14400,,False,abrs.ch
a,akp.ch,188.40.16.53,14400,,False,akp.ch
a,www.akp.ch,188.40.16.53,14400,,False,akp.ch
a,albinkistler.ch,188.40.16.53,14400,,False,albinkistler.ch
a,crl.albinkistler.ch,185.178.60.81,14400,,False,albinkistler.ch
a,keycloak-uat.kundenplattform.albinkistler.ch,185.178.61.217,14400,,False,albinkistler.ch
a,pgadmin-uat.kundenplattform.albinkistler.ch,185.178.61.217,14400,,False,albinkistler.ch
a,portal-uat.kundenplattform.albinkistler.ch,185.178.61.217,14400,,False,albinkistler.ch
a,portal.albinkistler.ch,185.178.61.218,14400,,False,albinkistler.ch
a,sbc1.albinkistler.ch,185.178.62.72,14400,,False,albinkistler.ch
a,sbc2.albinkistler.ch,185.178.62.73,14400,,False,albinkistler.ch
a,sftp.albinkistler.ch,185.178.62.90,14400,,False,albinkistler.ch
a,vpn2corp.albinkistler.ch,185.178.61.250,14400,,False,albinkistler.ch
a,vpn2corp-test.albinkistler.ch,185.178.62.30,14400,,False,albinkistler.ch
a,www.albinkistler.ch,188.40.16.53,14400,,False,albinkistler.ch
a,autonom-daheim.ch,185.178.61.61,14400,,False,autonom-daheim.ch
a,www.autonom-daheim.ch,185.178.61.61,30,,False,autonom-daheim.ch
a,autonome-chez-soi.ch,185.178.61.61,30,,False,autonome-chez-soi.ch
a,www.autonome-chez-soi.ch,185.178.61.61,30,,False,autonome-chez-soi.ch
a,autonomi-a-casa.ch,185.178.61.61,14400,,False,autonomi-a-casa.ch
a,www.autonomi-a-casa.ch,185.178.61.61,30,,False,autonomi-a-casa.ch
a,banca-regionale.ch,149.126.4.73,14400,,False,banca-regionale.ch
a,bancaregionale.ch,149.126.4.73,14400,,False,bancaregionale.ch
a,banche-regionali.ch,149.126.4.73,14400,,False,banche-regionali.ch
a,banque-regionale.ch,149.126.4.73,14400,,False,banque-regionale.ch
a,banqueregionale.ch,149.126.4.73,14400,,False,banqueregionale.ch
a,banques-regionales.ch,149.126.4.73,14400,,False,banques-regionales.ch
a,banquesregionales.ch,149.126.4.73,14400,,False,banquesregionales.ch
a,bellerivebanking.ch,149.126.4.118,14400,,False,bellerivebanking.ch
a,webportal.bellerivebanking.ch,157.245.23.79,14400,,False,bellerivebanking.ch
a,www.bellerivebanking.ch,149.126.4.118,3600,,False,bellerivebanking.ch
a,berner-krankenversicherer.ch,194.88.196.6,14400,,False,berner-krankenversicherer.ch
a,bernerkrankenversicherer.ch,194.88.196.6,14400,,False,bernerkrankenversicherer.ch
