"type","name","content","ttl","disabled","zone"
"caa","directa.ch","0 issue ""letsencrypt.org""","3600","False","directa.ch"
"caa","directa.ch","0 issuewild ""letsencrypt.org""","3600","False","directa.ch"
"caa","directa.ch","0 iodef ""mailto:security@visana.ch""","3600","False","directa.ch"
"caa","entris-banking.ch","0 iodef ""mailto:admin@entris-banking.ch""","3600","False","entris-banking.ch"
"caa","entris-banking.ch","0 issue ""swisssign.com""","3600","False","entris-banking.ch"
"caa","sip.entris-banking.ch","0 issue ""sectigo.com""","3600","False","entris-banking.ch"
"caa","webconf.entris-banking.ch","0 issue ""sectigo.com""","3600","False","entris-banking.ch"
"caa","privor.ch","0 issue ""quovadisglobal.com""","3600","False","privor.ch"
"caa","privor.ch","0 issue ""letsencrypt.org""","3600","False","privor.ch"
"caa","privor.ch","0 issue ""swisssign.com""","3600","False","privor.ch"
"caa","visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
"caa","visana.ch","0 issuewild ""swisssign.com""","3600","False","visana.ch"
"caa","visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","abna-service.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna-service.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","abna-www.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna-www.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna-www.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","brand-hub.visana.ch","0 issue ""amazon.com""","3600","False","visana.ch"
"caa","brand-hub.visana.ch","0 issuewild ""amazon.com""","3600","False","visana.ch"
"caa","collect.visana.ch","0 issue ""pki.goog""","3600","False","visana.ch"
"caa","collect.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","collect.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","collect.visana.ch","0 issuewild ""pki.goog""","3600","False","visana.ch"
"caa","collect.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard-test.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","dashboard-test.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard-test.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard-uat.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard-uat.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard-uat.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","dashboard.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","dashboard.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","dashboard.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","entw-service.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","entw-service.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","events.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","events.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","events.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","fit.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","fit.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","jobs.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","jobs.visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
"caa","jobs.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","jobs.visana.ch","0 issuewild ""swisssign.com""","3600","False","visana.ch"
"caa","jobs.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","job.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","job.visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
"caa","job.visana.ch","0 issuewild ""swisssign.com""","3600","False","visana.ch"
"caa","job.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","job.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","phishingdashboard.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","phishingdashboard.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","service.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","service.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","shop.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","shop.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","shop.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","sprint.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","sprint.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","survey.visana.ch","0 issue ""amazon.com""","3600","False","visana.ch"
"caa","survey.visana.ch","0 issuewild ""amazon.com""","3600","False","visana.ch"
"caa","survey.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","survey.visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
"caa","survey.visana.ch","0 issuewild ""swisssign.com""","3600","False","visana.ch"
"caa","abna-aladin.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna-aladin.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","abna.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","abna.visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
"caa","abna.visana.ch","0 issuewild ""swisssign.com""","3600","False","visana.ch"
"caa","abna.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","bsi.visana.ch","0 issue ""letsencrypt.org""","3600","False","visana.ch"
"caa","bsi.visana.ch","0 issuewild ""letsencrypt.org""","3600","False","visana.ch"
"caa","bsi.visana.ch","0 iodef ""mailto:security@visana.ch""","3600","False","visana.ch"
"caa","bsi.visana.ch","0 issue ""swisssign.com""","3600","False","visana.ch"
