type,name,canonical,ttl,comment,disabled,zone
cname,www.abrs.ch,abrs.ch,14400,,False,abrs.ch
cname,selector1._domainkey.akp.ch,selector1-akp-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,akp.ch
cname,selector2._domainkey.akp.ch,selector2-akp-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,akp.ch
cname,atlassian-7202f4._domainkey.albinkistler.ch,atlassian-7202f4.dkim.atlassian.net,14400,,False,albinkistler.ch
cname,atlassian-a75870._domainkey.albinkistler.ch,atlassian-a75870.dkim.atlassian.net,14400,,False,albinkistler.ch
cname,selector1._domainkey.albinkistler.ch,selector1-albinkistler-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,albinkistler.ch
cname,selector2._domainkey.albinkistler.ch,selector2-albinkistler-ch._domainkey.albinkistlerag.onmicrosoft.com,14400,,False,albinkistler.ch
cname,atlassian-bounces.albinkistler.ch,bounces.mail-us.atlassian.net,14400,,False,albinkistler.ch
cname,autodiscover.albinkistler.ch,autodiscover.outlook.com,14400,,False,albinkistler.ch
cname,argo.webportal.bellerivebanking.ch,webportal.bellerivebanking.ch,14400,,False,bellerivebanking.ch
cname,www.directa.ch,directa.ch,900,,False,directa.ch
cname,atlassian-020a9d._domainkey.entris-banking.ch,atlassian-020a9d.dkim.atlassian.net,300,,False,entris-banking.ch
cname,atlassian-926bc1._domainkey.entris-banking.ch,atlassian-926bc1.dkim.atlassian.net,300,,False,entris-banking.ch
cname,access.entris-banking.ch,72057964478857267.72057964478857216.h.two.zpa-app.net,14400,,False,entris-banking.ch
cname,atlassian-bounces.entris-banking.ch,bounces.mail-us.atlassian.net,300,,False,entris-banking.ch
cname,servicedesk.entris-banking.ch,servicedesk-entris-bankin-24a0fd71-6e46-42aa-88a8-3f0fd03aec2c.saas.atlassian.com,14400,,False,entris-banking.ch
cname,_0a54d02b4d26971c76c2dc5f7ba49d5c.servicedesk.entris-banking.ch,servicedesk-entris-bankin-24a0fd71-6e46-42aa-88a8-3f0fd03aec2c.ssl.atlassian.com,14400,,False,entris-banking.ch
cname,portal.servicedesk.entris-banking.ch,portal-servicedesk-entris-07589528-ec60-419c-87a7-583620192094.saas.atlassian.com,14400,,False,entris-banking.ch
cname,_e23899f31a21b17b0ed16fdea0b77ca1.portal.servicedesk.entris-banking.ch,portal-servicedesk-entris-07589528-ec60-419c-87a7-583620192094.ssl.atlassian.com,14400,,False,entris-banking.ch
cname,*.spapps.entris-banking.ch,provider.entris-banking.ch,14400,,False,entris-banking.ch
cname,www.entris-banking.ch,entris-banking.ch,14400,,False,entris-banking.ch
cname,www.entris-bankning.ch,entris-bankning.ch,14400,,False,entris-bankning.ch
cname,www.entris-holding.ch,entris-holding.ch,14400,,False,entris-holding.ch
cname,atlassian-26a9e5._domainkey.gkb.ch,atlassian-26a9e5.dkim.atlassian.net,14400,,False,gkb.ch
cname,atlassian-bdc2df._domainkey.gkb.ch,atlassian-bdc2df.dkim.atlassian.net,14400,,False,gkb.ch
cname,atlassian-bounces.gkb.ch,bounces.mail-us.atlassian.net,14400,,False,gkb.ch
cname,bnc3.gkb.ch,bnc3.mailjet.com,14400,,False,gkb.ch
cname,cx.gkb.ch,gkb.bsi.cloud,14400,,False,gkb.ch
cname,cx-int.gkb.ch,int.gkb.bsi.cloud,14400,,False,gkb.ch
cname,dev.gkb.ch,cdn.adobeaemcloud.com,14400,,False,gkb.ch
cname,engagement.gkb.ch,fy33j395w9ua.ch.optimytool.com,14400,,False,gkb.ch
cname,mte1._domainkey.mail.engagement.gkb.ch,dkim1.mandrillapp.com,14400,,False,gkb.ch
cname,mte2._domainkey.mail.engagement.gkb.ch,dkim2.mandrillapp.com,14400,,False,gkb.ch
cname,enterpriseenrollment.gkb.ch,EnterpriseEnrollment-s.manage.microsoft.com,18000,,False,gkb.ch
cname,enterpriseregistration.gkb.ch,EnterpriseRegistration.windows.net,18000,,False,gkb.ch
cname,freiwilligenarbeit.gkb.ch,ch.ci.optimytool.com,14400,,False,gkb.ch
cname,marke.gkb.ch,c-272c23c4fd7ed568b64335191375e41c.frontify.com,14400,,False,gkb.ch
cname,mobiletst.gkb.ch,www.gkb.ch,14400,,False,gkb.ch
cname,process-library.gkb.ch,process-library.gkb-ch.bicplatform.net,14400,,False,gkb.ch
cname,*.process-library.gkb.ch,process-library.gkb-ch.bicplatform.net,14400,,False,gkb.ch
cname,_acme-challenge.process-library.gkb.ch,_acme-challenge.sub80005-gkb-ch-prod-bicpd.gbtec-dnsvalidation.net,14400,,False,gkb.ch
cname,_acme-challenge.process-library-test.gkb.ch,_acme-challenge.test-gkb-swisssign-ca-bicpd.gbtec-opsdev-dnsvalidation.net,14400,,False,gkb.ch
cname,produktinformationen.gkb.ch,gkb.microsite.cname.tools.factsheetslive.com,14400,,False,gkb.ch
cname,report.gkb.ch,live.nswow.ch,14400,,False,gkb.ch
cname,www.report.gkb.ch,report.gkb.ch,14400,,False,gkb.ch
cname,test.gkb.ch,cdn.adobeaemcloud.com,14400,,False,gkb.ch
cname,mobiletst.grkb.ch,www.grkb.ch,14400,,False,grkb.ch
cname,autodiscover.ihfsholding.ch,autodiscover.outlook.com,60,,False,ihfsholding.ch
cname,k1._domainkey.inventx.ch,dkim.mcsv.net,3600,,False,inventx.ch
