"type","zone","name","mail_exchanger","priority","ttl","disabled"
"mx","entris-banking.ch","entris-banking.ch","mx02.vabgroup.ch","10","300","False"
"mx","entris-banking.ch","entris-banking.ch","mx3.entris-banking.ch","30","300","False"
"mx","entris-banking.ch","entris-banking.ch","mx4.entris-banking.ch","40","300","False"
"mx","entris-banking.ch","entris-banking.ch","mx1.entris-banking.ch","10","300","False"
"mx","entris-banking.ch","entris-banking.ch","mx2.entris-banking.ch","20","300","False"
"mx","entris-bankning.ch","entris-bankning.ch","mx02.vabgroup.ch","10","3600","False"
"mx","entris-finanz.ch","entris-finanz.ch","mx02.vabgroup.ch","10","3600","False"
"mx","entris-holding.ch","entris-holding.ch","mx02.vabgroup.ch","10","300","False"
"mx","entris-holding.ch","entris-holding.ch","mx1.entris-banking.ch","10","300","False"
"mx","entris-holding.ch","entris-holding.ch","mx2.entris-banking.ch","20","300","False"
"mx","ihfsholding.ch","ihfsholding.ch","mx2.pbihag.ch","10","900","False"
"mx","ihfsholding.ch","ihfsholding.ch","mx1.pbihag.ch","20","900","False"
"mx","inventx-events.ch","inventx-events.ch","mail.inventx-events.ch","10","3600","False"
"mx","myvisana.ch","myvisana.ch","mailsecgw01.visana.ch","10","60","False"
"mx","myvisana.ch","myvisana.ch","mailsecgw02.visana.ch","20","60","False"
"mx","myvisana.ch","myvisana.ch","mx3.visana.ch","30","3600","False"
"mx","myvisana.ch","myvisana.ch","mx4.visana.ch","40","3600","False"
"mx","pbbellerive.com","pbbellerive.com","mx2.gkb.ch","20","3600","False"
"mx","pbbellerive.com","pbbellerive.com","mx1.gkb.ch","10","3600","False"
"mx","pbihag.ch","pbihag.ch","mx2.pbihag.ch","10","300","False"
"mx","pbihag.ch","pbihag.ch","mx1.pbihag.ch","20","300","False"
"mx","pbihag.ch","ebanking.pbihag.ch","mail11.b-source.biz","10","3600","False"
"mx","pbihag.ch","ebanking.pbihag.ch","mail12.b-source.biz","20","3600","False"
"mx","pbihag.ch","ebanking.pbihag.ch","mail51.b-source.biz","10","3600","False"
"mx","pbihag.ch","ebanking.pbihag.ch","mail52.b-source.biz","20","3600","False"
"mx","privor.ch","privor.ch","mx02.vabgroup.ch","10","300","False"
"mx","privor.ch","privor.ch","mx1.entris-banking.ch","10","300","False"
"mx","privor.ch","privor.ch","mx2.entris-banking.ch","20","300","False"
"mx","proventx.ch","proventx.ch","proventx-ch.mail.protection.outlook.com","0","3600","False"
"mx","romontschia.ch","romontschia.ch","romontschia-ch.mail.protection.outlook.com","10","300","False"
