"type","name","content","ttl","disabled","zone"
"ns","0.252.145.in-addr.arpa","a16-64.akam.net","14400","False","0.252.145.in-addr.arpa"
"ns","0.252.145.in-addr.arpa","a14-64.akam.net","14400","False","0.252.145.in-addr.arpa"
"ns","0.252.145.in-addr.arpa","a13-66.akam.net","14400","False","0.252.145.in-addr.arpa"
"ns","0.252.145.in-addr.arpa","a1-113.akam.net","14400","False","0.252.145.in-addr.arpa"
"ns","0.252.145.in-addr.arpa","dns2.ixcloud.ch","14400","False","0.252.145.in-addr.arpa"
"ns","0.252.145.in-addr.arpa","dns1.ixcloud.ch","14400","False","0.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","a16-64.akam.net","14400","False","1.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","a14-64.akam.net","14400","False","1.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","a13-66.akam.net","14400","False","1.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","a1-113.akam.net","14400","False","1.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","dns2.ixcloud.ch","14400","False","1.252.145.in-addr.arpa"
"ns","1.252.145.in-addr.arpa","dns1.ixcloud.ch","14400","False","1.252.145.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","a16-64.akam.net","14400","False","176.10.45.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","a14-64.akam.net","14400","False","176.10.45.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","a13-66.akam.net","14400","False","176.10.45.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","a1-113.akam.net","14400","False","176.10.45.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","dns2.ixcloud.ch","14400","False","176.10.45.in-addr.arpa"
"ns","176.10.45.in-addr.arpa","dns1.ixcloud.ch","14400","False","176.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","a16-64.akam.net","14400","False","177.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","a14-64.akam.net","14400","False","177.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","a13-66.akam.net","14400","False","177.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","a1-113.akam.net","14400","False","177.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","dns2.ixcloud.ch","14400","False","177.10.45.in-addr.arpa"
"ns","177.10.45.in-addr.arpa","dns1.ixcloud.ch","14400","False","177.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","a16-64.akam.net","14400","False","178.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","a14-64.akam.net","14400","False","178.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","a13-66.akam.net","14400","False","178.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","a1-113.akam.net","14400","False","178.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","dns2.ixcloud.ch","14400","False","178.10.45.in-addr.arpa"
"ns","178.10.45.in-addr.arpa","dns1.ixcloud.ch","14400","False","178.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","a16-64.akam.net","14400","False","179.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","a14-64.akam.net","14400","False","179.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","a13-66.akam.net","14400","False","179.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","a1-113.akam.net","14400","False","179.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","dns2.ixcloud.ch","14400","False","179.10.45.in-addr.arpa"
"ns","179.10.45.in-addr.arpa","dns1.ixcloud.ch","14400","False","179.10.45.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","a16-64.akam.net","14400","False","60.178.185.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","a14-64.akam.net","14400","False","60.178.185.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","a13-66.akam.net","14400","False","60.178.185.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","a1-113.akam.net","14400","False","60.178.185.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","dns2.ixcloud.ch","14400","False","60.178.185.in-addr.arpa"
"ns","60.178.185.in-addr.arpa","dns1.ixcloud.ch","14400","False","60.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","a16-64.akam.net","14400","False","61.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","a14-64.akam.net","14400","False","61.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","a13-66.akam.net","14400","False","61.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","a1-113.akam.net","14400","False","61.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","dns2.ixcloud.ch","14400","False","61.178.185.in-addr.arpa"
"ns","61.178.185.in-addr.arpa","dns1.ixcloud.ch","14400","False","61.178.185.in-addr.arpa"
"ns","62.178.185.in-addr.arpa","a16-64.akam.net","14400","False","62.178.185.in-addr.arpa"
"ns","62.178.185.in-addr.arpa","a14-64.akam.net","14400","False","62.178.185.in-addr.arpa"
"ns","62.178.185.in-addr.arpa","a13-66.akam.net","14400","False","62.178.185.in-addr.arpa"
"ns","62.178.185.in-addr.arpa","a1-113.akam.net","14400","False","62.178.185.in-addr.arpa"
"ns","62.178.185.in-addr.arpa","dns2.ixcloud.ch","14400","False","62.178.185.in-addr.arpa"
