"type","name","content","ttl","disabled","zone"
"ptr","138.0.252.145.in-addr.arpa","gkb.digital","3600","False","0.252.145.in-addr.arpa"
"ptr","138.0.252.145.in-addr.arpa","www.gkb.digital","3600","False","0.252.145.in-addr.arpa"
"ptr","117.0.252.145.in-addr.arpa","ras.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","138.0.252.145.in-addr.arpa","gkb-hockeyschule.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","138.0.252.145.in-addr.arpa","www.gkb-hockeyschule.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","141.0.252.145.in-addr.arpa","cronto.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","206.0.252.145.in-addr.arpa","tstcronto.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","120.0.252.145.in-addr.arpa","sip.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","121.0.252.145.in-addr.arpa","webconf.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","123.0.252.145.in-addr.arpa","sfbwebext.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","123.0.252.145.in-addr.arpa","dialin.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","123.0.252.145.in-addr.arpa","lyncdiscover.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","132.0.252.145.in-addr.arpa","meet.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","100.0.252.145.in-addr.arpa","sft.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","142.0.252.145.in-addr.arpa","twint.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","207.0.252.145.in-addr.arpa","tsttwint.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","208.0.252.145.in-addr.arpa","tste-banking.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","209.0.252.145.in-addr.arpa","tstmobile-banking.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","211.0.252.145.in-addr.arpa","tstwebview.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","216.0.252.145.in-addr.arpa","gioiatst.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","133.0.252.145.in-addr.arpa","vorsorgeapp.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","134.0.252.145.in-addr.arpa","login.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","147.0.252.145.in-addr.arpa","evak.gkb.ch.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","111.0.252.145.in-addr.arpa","ras2corp.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","150.0.252.145.in-addr.arpa","onfido.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","219.0.252.145.in-addr.arpa","onfido-test.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","220.0.252.145.in-addr.arpa","onfido-dev.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","151.0.252.145.in-addr.arpa","extgioiakids.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","221.0.252.145.in-addr.arpa","extgioiakids-tst.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","223.0.252.145.in-addr.arpa","login-test.portal.gkb.ch","3600","False","0.252.145.in-addr.arpa"
"ptr","78.1.252.145.in-addr.arpa","proxy.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","68.1.252.145.in-addr.arpa","mailhub.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","15.1.252.145.in-addr.arpa","www.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","12.1.252.145.in-addr.arpa","sras.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","14.1.252.145.in-addr.arpa","tstmobile-banking.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","9.1.252.145.in-addr.arpa","mobile-banking.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","10.1.252.145.in-addr.arpa","webview.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","18.1.252.145.in-addr.arpa","mobileapps.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","7.1.252.145.in-addr.arpa","mdm.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","13.1.252.145.in-addr.arpa","secure.gkb.ch","3600","False","1.252.145.in-addr.arpa"
"ptr","106.60.178.185.in-addr.arpa","dns1.ixcloud.ch","3600","False","60.178.185.in-addr.arpa"
"ptr","33.60.178.185.in-addr.arpa","cli-itsm-api.inventx.ch","3600","False","60.178.185.in-addr.arpa"
"ptr","67.60.178.185.in-addr.arpa","share.ixcloud.ch","3600","False","60.178.185.in-addr.arpa"
