"type","name","target","port","priority","weight","ttl","disabled","zone"
"srv","_sipfederationtls._tcp.albinkistler.ch","sipfed.online.lync.com","5061","100","1","14400","False","albinkistler.ch"
"srv","_sip._tcp.entris-banking.ch","sip.entris-banking.ch","443","100","1","14400","False","entris-banking.ch"
"srv","_sipfederationtls._tcp.entris-banking.ch","sipfed.online.lync.com","5061","100","1","14400","False","entris-banking.ch"
"srv","_sipfederationtls._tcp.gkb.ch","sipfed.online.lync.com","5061","100","1","14400","False","gkb.ch"
"srv","_sip._tls.gkb.ch","sip.gkb.ch","443","0","0","14400","False","gkb.ch"
"srv","_citrixreceiver._tcp.inventx.ch","wp.inventx.ch","443","0","0","14400","False","inventx.ch"
"srv","_sipfederationtls._tcp.inventx.ch","sipfed.online.lync.com","5061","0","0","300","False","inventx.ch"
"srv","_sipfederationtls._tcp.pbihag.ch","sipfed.online.lync.com","5061","100","1","14400","False","pbihag.ch"
"srv","_sip._tls.pbihag.ch","sipdir.online.lync.com","443","100","1","14400","False","pbihag.ch"
"srv","_sipfederationtls._tcp.visana.ch","sipfed.online.lync.com","5061","100","10","14400","False","visana.ch"
